train on nosun ,val on sun
baseline
                   Class      Images    top1_acc    top5_acc
                  5_full         505       0.982           1
                 6_empty         731       0.996           1
                  6_full         271       0.956       0.996
                 7_empty         814       0.996       0.998
                  7_full         188       0.963           1
                 8_empty         684       0.994       0.999
                  8_full         318       0.965           1
                 9_empty         804       0.989           1
                  9_full         197        0.98           1
sunlight-all
                   Class      Images    top1_acc    top5_acc
                     all       20592       0.993           1
                 1_empty        1072       0.998           1
                  1_full        1216       0.997           1
                 2_empty         997       0.993           1
                  2_full        1291       0.991           1
                 3_empty        1823       0.995           1
                  3_full         465       0.955       0.996
                 4_empty        1380       0.996           1
                  4_full         908        0.99           1
                 5_empty        1032       0.991       0.996
                  5_full        1256       0.992           1
                 6_empty        1685       0.998           1
                  6_full         603       0.973       0.998
                 7_empty        1853       0.998       0.999
                  7_full         435       0.984           1
                 8_empty        1493       0.996       0.999
                  8_full         795       0.987           1
                 9_empty        1779       0.994           1
                  9_full         509       0.992           1
nosunlight-all
                   Class      Images    top1_acc    top5_acc
                     all        2835       0.992       0.999
                 1_empty         211       0.991           1
                  1_full         104           1           1
                 2_empty         189       0.995           1
                  2_full         126       0.968       0.992
                 3_empty         229           1           1
                  3_full          86       0.965           1
                 4_empty         219       0.995           1
                  4_full          96       0.958           1
                 5_empty         188           1           1
                  5_full         127       0.992           1
                 6_empty         225           1           1
                  6_full          90           1           1
                 7_empty         257           1           1
                  7_full          58       0.966           1
                 8_empty         237       0.992       0.996
                  8_full          78       0.974           1
                 9_empty         271       0.996           1
                  9_full          44       0.977           1
shade_+60
all
                   Class      Images    top1_acc    top5_acc
                     all        9017       0.985       0.999
                 1_empty         533       0.994           1
                  1_full         469       0.987           1
                 2_empty         488       0.986       0.998
                  2_full         514       0.981       0.998
                 3_empty         776       0.985           1
                  3_full         226       0.925       0.991
                 4_empty         633       0.994           1
                  4_full         369       0.981           1
                 5_empty         497       0.986           1
                  5_full         505       0.986           1
                 6_empty         731       0.995           1
                  6_full         271       0.967           1
                 7_empty         814       0.994           1
                  7_full         188       0.984           1
                 8_empty         684       0.993       0.999
                  8_full         318       0.956           1
                 9_empty         804        0.99       0.999
                  9_full         197        0.97           1
sunlight-all
                   Class      Images    top1_acc    top5_acc
                     all       20592       0.992           1
                 1_empty        1072       0.998           1
                  1_full        1216       0.996           1
                 2_empty         997        0.99       0.998
                  2_full        1291        0.99           1
                 3_empty        1823       0.993           1
                  3_full         465       0.968       0.996
                 4_empty        1380       0.996           1
                  4_full         908       0.991           1
                 5_empty        1032       0.989       0.997
                  5_full        1256       0.994           1
                 6_empty        1685       0.997           1
                  6_full         603       0.973           1
                 7_empty        1853       0.997           1
                  7_full         435       0.986           1
                 8_empty        1493       0.995           1
                  8_full         795       0.984           1
                 9_empty        1779       0.995       0.999
                  9_full         509       0.988           1
nosunlight-all
                   Class      Images    top1_acc    top5_acc
                     all        2835       0.992       0.999
                 1_empty         211       0.991           1
                  1_full         104       0.981           1
                 2_empty         189           1           1
                  2_full         126       0.984       0.992
                 3_empty         229       0.996           1
                  3_full          86       0.965           1
                 4_empty         219       0.995           1
                  4_full          96       0.969           1
                 5_empty         188           1           1
                  5_full         127       0.992           1
                 6_empty         225           1           1
                  6_full          90           1           1
                 7_empty         257           1           1
                  7_full          58           1           1
                 8_empty         237       0.992       0.996
                  8_full          78       0.949           1
                 9_empty         271       0.996           1
                  9_full          44           1           1
